nppes_provider_state,counts,nppes_provider_zip5,total_claim_count,brand_claim_count,generic_claim_count,brand_drug_cost,generic_drug_cost,total_drug_cost,total_30_day_fill_count,total_day_supply,bene_count,brand_percent_spending,log_brand_cost,log_generic_cost
AA,23,1341599.0,1911,57.0,1066.0,10813.04,12808.429999999998,66440.12,2026.0,31536,954.0,0.4577632128737119,4.0339879716523255,4.107529804735916
AE,88,1048613.0,25768,4652.0,17740.0,1958139.72,387015.23999999993,2537122.0500000007,39044.600000000006,1009604,5952.0,0.8349724233148329,6.291843898766145,5.587729189293863
AK,2475,246504185.0,1237251,174237.0,957303.0,88760136.29000007,24624646.269999977,139601704.6899999,1823942.7999999984,46880084,136745.0,0.7828223001885698,7.948217965306741,7.391370018264481
AL,14426,516207991.0,28477231,4064509.0,23346879.0,1730341033.01,567615552.8899983,2741834794.5600076,43504154.60000031,1209536804,2791007.0,0.7529911764335223,9.238131706939349,8.754054287553666
AP,57,5200007.0,15717,2128.0,12401.0,865002.6699999999,238106.24000000002,1143945.3900000004,25233.6,636556,3908.0,0.784149835214367,5.9370179500744875,5.376772600966598
AR,8995,650628182.0,18236354,2606361.0,15035750.0,926022061.9999993,297567379.3900012,1406406502.8300076,24680082.2000001,685512629,1576862.0,0.7568078235033118,8.966621334117146,8.473585321722398
AS,4,362698.0,316,26.0,169.0,1461.97,1701.78,4192.3099999999995,339.0,4908,167.0,0.46210035559067564,3.1652354204738806,3.2311585405298535
AZ,23073,1970273581.0,25197728,3914027.0,19943843.0,1763389030.0400107,541650808.4699981,2743014708.6900067,42544725.80000033,1191881675,3501250.0,0.765014556616026,9.246348134985455,8.733719396514338
CA,119867,11139497583.0,139100291,23520307.0,108809810.0,10260829611.270096,3001003397.5799737,15684618979.079966,227844506.79999414,6385621716,16056411.0,0.7737112663402335,10.011182475928354,9.477266487255473
CO,20096,1616876378.0,16962050,2766831.0,13135401.0,1201789125.4700086,367008667.34000134,1890180817.2699971,28599130.000000086,795747696,2199508.0,0.7660573790822205,9.079828270291767,8.56467632192994
CT,17461,112365375.0,16632214,2999332.0,12716349.0,1427909644.190005,408075493.6199986,2143278700.5200078,26715877.400000304,740855441,2107347.0,0.7777348600399029,9.154700727162218,8.610740515697422
DC,4880,97773873.0,2066280,356443.0,1518386.0,253995274.25,47668885.80999998,370146414.4699987,3118795.0000000075,86877811,282758.0,0.8419802809835983,8.404825638069001,7.678235010162427
DE,3530,69919092.0,4049966,642063.0,3204487.0,352829041.3699999,96172146.24999978,524064998.0000009,7313369.399999986,204970282,548834.0,0.7858087040709734,8.547564325955005,7.983049312712584
FL,70951,2361515916.0,107539136,16326687.0,86519235.0,7400670055.969982,2161895324.2400055,11224811709.229967,177759258.19999868,4980756657,12958605.0,0.7739209889519697,9.869271042551322,9.334834662433584
GA,29468,903005061.0,48338779,7475051.0,38945098.0,3047587429.289992,867757043.5299982,4640334856.61005,69623739.80000062,1870335239,4843877.0,0.7783701920600093,9.483956173666247,8.938398147999557
GU,180,17369574.0,85155,10579.0,68684.0,3644929.4300000006,1156185.31,5271440.789999999,98237.49999999997,2728295,7717.0,0.7591839869255032,6.56168924344811,6.063027822739619
HI,4283,414512100.0,4031951,718674.0,3121280.0,346840072.5800005,105683389.44999991,517775205.5700009,7217228.999999972,202552364,523107.0,0.7664576572982341,8.540129269684277,8.024006737518155
IA,10772,553449398.0,16876822,2593079.0,13658473.0,871960971.700002,292565283.7899999,1318213705.5999985,25739741.200000077,712070625,1602963.0,0.7487688384776724,8.940497047179887,8.466222792334108
ID,5318,444440590.0,6280236,924662.0,5021571.0,368449088.84000015,134527749.4100001,597127526.6700008,10150133.599999992,283643724,723976.0,0.7325368900125492,8.566377488045799,8.12881187992816
IL,46821,2847768102.0,52093404,8298617.0,41394924.0,3426959063.0800014,1074230855.379992,5237727067.150034,83439788.70000017,2314122836,5608025.0,0.7613451387655462,9.534908916699973,9.031097622963236
IN,21835,1019386920.0,34310836,5592918.0,27250226.0,2243133149.1499863,735717201.9199979,3501414475.329981,54341257.000000335,1506740251,3500577.0,0.753019750839201,9.35085505363607,8.866710911059327
KS,10017,668265907.0,14198440,2248384.0,11378608.0,826021461.0100011,266696512.07999924,1235315064.9599972,21070355.999999985,578750585,1367582.0,0.7559328951771225,8.916991331474648,8.426017337549588
KY,16233,664902257.0,31044772,4933604.0,25064593.0,1772113677.6099973,595253914.2499998,2676143206.709989,43279128.20000025,1191000177,2769743.0,0.7485587298327762,9.248491577827268,8.774702260634461
LA,16607,1172183115.0,26798441,4030613.0,21611806.0,1544200606.930001,507368577.1800001,2490656143.019987,38048567.30000035,1053189542,2647093.0,0.7526924360583513,9.188703719094075,8.705323567447017
MA,35730,71449206.0,35044341,5141226.0,28022860.0,2362515573.739999,750195234.8099958,3712159599.939999,53073242.20000023,1470227525,4074750.0,0.7589897420764694,9.373374680250652,8.875174301792844
MD,23234,491653294.0,19128883,2992197.0,14951801.0,1542334777.899998,465767098.33999985,2453792477.240001,32108971.7000004,893724633,2372268.0,0.76805604145338,9.1881786518267,8.668168807771584
ME,6112,26537782.0,6947213,1123350.0,5499977.0,501340093.7699998,162289699.84,765568238.219999,11734805.800000008,326212649,807337.0,0.7554514559131232,8.70013243878629,8.21029095968895
MI,41812,2031815214.0,50661965,7639999.0,40600636.0,3556837087.819996,1109653523.7100005,5449675838.399971,83413689.90000018,2338216775,5773880.0,0.7622081311021474,9.551063973972179,9.04518739698877
MN,22149,1231625042.0,22461295,3195076.0,18184707.0,1297043783.5599952,490184274.71000016,2125340838.2700112,37919276.30000014,1041225500,2680195.0,0.7257293088916198,9.112954636895061,8.690359375700416
MO,21680,1387680955.0,36588039,5889380.0,29322523.0,2207402143.7899966,685272693.5100048,3374885250.3599834,53186008.00000021,1463613809,3362400.0,0.7631006829133853,9.343881460190854,8.835863427191846
MP,27,2617660.0,11510,1233.0,8829.0,436803.18,171869.92,690387.37,13376.1,360048,1099.0,0.717631812544369,5.640286785699996,5.235202401690599
MS,9155,358855310.0,18524610,2686931.0,15171249.0,975818680.0199995,304193758.2599998,1518222654.5000072,24805899.99999995,678897800,1655723.0,0.7623509356918778,8.98936912796588,8.48315029996436
MT,3917,233126536.0,4263740,631338.0,3401323.0,265467218.8599998,78992096.32999992,414905340.72999936,6713272.900000012,186788625,465414.0,0.7706780079777237,8.424010901640337,7.897583644991111
NC,35636,996084015.0,53805727,8795312.0,42823523.0,3666455305.9399953,1045738345.3599969,5458610547.489969,79401335.10000058,2203253929,5694612.0,0.7780782321899057,9.564246395436188,9.019423033530222
ND,2941,171544807.0,3786087,611936.0,3022357.0,213421963.2999999,68927850.07000002,319898548.9700002,5750805.000000001,152883485,380004.0,0.7558778267025988,8.329239112761464,7.838394738917967
NE,7070,483563892.0,9732455,1512141.0,7812113.0,559547990.56,169424744.00999963,832880853.030001,13900289.900000013,378692956,904314.0,0.7675842511312326,8.747837341223345,8.228976840684597
NH,5989,20632307.0,5784725,870871.0,4596181.0,392377974.57000023,128176332.4199999,619323958.7900004,9348959.799999991,258418145,711942.0,0.7537695285605193,8.59370462216138,8.107807844106866
NJ,31587,248906901.0,36542645,6734431.0,27835971.0,3060021091.0099936,888455904.0500002,4739231589.370016,59433301.90000059,1656104866,4263337.0,0.7749876964810578,9.485724419982228,8.948635878209211
NM,7357,643069876.0,7423045,1182718.0,5857692.0,476620878.7200004,153452791.35999987,736670094.9199988,11828281.599999983,331039258,928055.0,0.7564526203094377,8.678173063920116,8.18597479563852
NV,7921,706517399.0,9620747,1406203.0,7751288.0,661331643.6399984,189077311.83999977,999689531.359998,16044343.499999914,450165429,1268115.0,0.7776630753690987,8.820419304140131,8.276639421497109
NY,92548,1073914562.0,97955185,17988335.0,74480099.0,8257708284.940009,2334745212.709995,12301509059.13992,145813864.39999652,4081812024,11144022.0,0.7795840960521592,9.916859536804091,9.368239493759848
OH,45412,2012393041.0,64327041,10272123.0,51511460.0,4106414186.5400047,1386539893.1699908,6302921400.5100155,99130023.8999989,2731121572,6729715.0,0.7475784663316912,9.613462751729935,9.141932369816248
OK,12037,887076608.0,17888101,2948725.0,14189985.0,1114543982.6099994,358519756.1399978,1713644251.1500149,26852106.5000001,745199361,1711131.0,0.7566162639749533,9.04709721185816,8.554513093561566
OR,16410,1596619280.0,16967518,2521779.0,13595233.0,1026081554.46,349654926.0100016,1636080880.7599995,27403600.100000102,765850761,2030609.0,0.7458416412054824,9.01118188093039,8.543639652290773
PA,57589,1017988086.0,75720850,12293523.0,60256135.0,5181697325.709963,1581843341.5900006,7761967133.88003,112126233.6999991,3095161570,8013155.0,0.7661220033409691,9.714472041382589,9.19916347105955
PR,10321,8387963.0,27575960,3829691.0,22767617.0,928567297.6300014,346014998.47999996,1461186609.7300053,34168073.500000075,960760876,2051075.0,0.7285267498724637,8.967813385043472,8.539094925527461
RI,4962,14334528.0,6293985,852866.0,5160336.0,316659890.2100001,105987318.18000013,489117011.7300014,8674954.799999999,239894781,625629.0,0.7492298160829216,8.500593058227324,8.025253907344082
SC,15782,465077397.0,26360278,4227056.0,21123775.0,1795659898.4100008,513535180.99000025,2669973399.109996,39564108.80000024,1094774094,2713681.0,0.7776129069513554,9.25422408411508,8.710570202209281
SD,3342,191463846.0,4277481,644302.0,3443406.0,247428551.64000008,76192877.38999964,370529643.81,6325024.400000011,171955235,427731.0,0.7645617052666294,8.393449814688774,7.881914380519867
TN,25050,943326346.0,41050124,6279322.0,33154691.0,2569912641.1699963,828636667.5900083,3979099052.1500125,62373585.60000061,1710135923,4189110.0,0.7561793011347112,9.409918360814432,8.918364147661213
TX,73753,5687859419.0,94359394,15497894.0,74401668.0,7025161237.410018,2080232104.9200015,10744380484.76011,153220375.999996,4284917360,10611183.0,0.7715384688271268,9.846656296427387,9.318111794912982
UT,8757,737715169.0,7820977,1110379.0,6256588.0,495314641.91999984,172720406.95999938,797005209.5499994,13022507.89999998,362397810,927701.0,0.7414500822231177,8.694881167161446,8.237343655116861
VA,26558,610524365.0,31560543,4858123.0,25310443.0,2008414868.3499937,646745899.1500021,3097183258.959984,49317472.100000426,1369946136,3471518.0,0.7564193072350361,9.30285342802433,8.81073368431881
VI,176,212546.0,206439,26815.0,170164.0,10860764.120000001,3660571.039999998,17618521.529999994,252523.5,7161365,20517.0,0.7479177362365901,7.03586042154097,6.563548958182104
VT,2739,14973986.0,2727372,437177.0,2161333.0,200393859.74999985,62833232.44000001,294812742.4699999,4605844.699999998,128172982,306888.0,0.7612964838944223,8.301884412388626,7.798189409374013
WA,26761,2633781878.0,24299342,3586805.0,19403852.0,1563565335.350002,505297027.59999853,2508386121.5699863,39450128.800000235,1098600935,2936748.0,0.755760926077512,9.194116033723123,8.70354674437633
WI,21559,1160233625.0,26289874,4038910.0,21133081.0,1672714436.6299934,581894166.9899999,2621817852.670017,43628296.30000046,1213480143,2896028.0,0.7419090098140706,9.223421805429224,8.764844004516913
WV,7372,190467333.0,12785355,2080851.0,10242231.0,772000996.7299998,235176305.80999973,1145347107.4600046,18403885.999999955,511867929,1145239.0,0.7664995972239358,8.887617861615986,8.371393565958565
WY,1816,149846754.0,1829676,309755.0,1421392.0,102140974.46999988,34833588.78999999,160228784.92000002,2889017.8000000017,80121202,194470.0,0.7456930107243328,8.009200001152331,7.541998233162008
XX,11,500584.0,13164,1658.0,11060.0,536222.2799999999,282310.67999999993,870768.3799999999,23978.1,674883,1764.0,0.65510163451451,5.729345664842806,5.450728846459404
ZZ,166,4296599.0,70273,8868.0,54438.0,2865424.8699999996,1327408.5500000003,7320176.949999999,100353.7,2641192,11149.0,0.6834101389126973,6.4571891775237,6.123004937833207
